id_video,fecha_recuperacion,nombre_usuario,url_perfil,comentario,fecha_publicacion,num_likes
7428789400760257798,2024-12-02 18:50:50.748605,Juanito2.0,https://www.tiktok.com/@jehu515,Lo que necesito es tu fondo de pantalla😭,Hace 2 día(s),0
7428789400760257798,2024-12-02 18:50:50.758315,HIT ME HARD N SOFT,https://www.tiktok.com/@myftu,"Se me acabó Apple Music y no tenía dinero para pagar, estuve usando spotify y me dolía la cabeza de los sonidos tan fuertes que tiene",10-30,58
7428789400760257798,2024-12-02 18:50:50.767065,Edgar Cruz,https://www.tiktok.com/@eddiecm,"Intenté usar Apple Music pero Spotify tiene mucho mejor bajo y mayor volumen, es muy notorio con Beats y AirPods Max",10-23,2
7428789400760257798,2024-12-02 18:50:50.775705,César Prado Ayala,https://www.tiktok.com/@agus_prado7,"Algún buen audífono para poder disfrutarlas? Tengo los pro 2 y tuve los AirPods Max, no me termina de convencer",Hace 22 h,0
7428789400760257798,2024-12-02 18:50:50.784714,andeeregei,https://www.tiktok.com/@user925884128839,En Ajuste de Volumen” desactívenlo cuando tengan los AirPods y aumenta el volumen al máximo pruébenlo 🤝🏻,10-23,0
7428789400760257798,2024-12-02 18:50:50.792732,tu_compa_0,https://www.tiktok.com/@tu_compa_0,como le hago para que al presionar los airpods no me reproduzca la música en automático es molesto,10-29,0
7428789400760257798,2024-12-02 18:50:50.801914,_luis.tv,https://www.tiktok.com/@_luis.tv2,Como activo el ojito de la music del principio?,Hace 5 día(s),0
7428789400760257798,2024-12-02 18:50:50.810273,Eren,https://www.tiktok.com/@kaneki98xd,"Yo siento que ese dolby atmos se escucha muy editado, que se yo",10-29,0
7428789400760257798,2024-12-02 18:50:50.819271,CRISTOPHER A.【𝙁𝙄】,https://www.tiktok.com/@cristopher_ap_f1,Pero el Dolby Atmos no es la gran cosa. 😒,10-23,17
7428789400760257798,2024-12-02 18:50:50.828196,Reyes07,https://www.tiktok.com/@rey_jose07,Alguna configuración de ecualizador para que suene boom,11-12,1
7428789400760257798,2024-12-02 18:50:50.837392,anth_jxmil,https://www.tiktok.com/@anth_jxmil,Por q en Apple Music pongo algún artista y no reproduce todas sus canciones solo llega a unas pocas ayuda,11-9,0
